age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours per week,native-country,class
72.65181588554796,Private,225977.70876909516,Bachelors,12.843501493813951,Divorced,Exec-managerial,Unmarried,White,Female,-0.0019979016780853273,0.001974574327468872,52.83819691820977,United-States,<=50K
58.832179186014365,Private,208952.61878751917,Assoc-acdm,12.19910519494312,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.0019998998641967774,0.0019781649112701415,30.435691304704687,United-States,>50K
75.1387926880042,Private,110106.91972022076,7th-8th,4.501079012466509,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,-0.0019966166019439696,0.001937707543373108,40.001861552716385,United-States,>50K
35.36919206473611,State-gov,146237.84144204433,HS-grad,9.296186704328118,Never-married,Farming-fishing,Own-child,White,Female,-0.001997330069541931,0.0019651716947555542,40.00133299446214,United-States,<=50K
43.91994653086793,Private,149734.5506625956,Some-college,9.816182112433046,Married-civ-spouse,Transport-moving,Husband,White,Male,-0.001996685266494751,0.001919458031654358,76.91405065751808,United-States,<=50K
18.950419421711864,Private,191429.6663167534,Some-college,10.007835736962871,Divorced,Exec-managerial,Not-in-family,White,Male,-199.15301247290063,0.0018660786151885986,77.03241992861467,United-States,<=50K
31.45537063821515,Private,226662.93340917025,HS-grad,9.155526371679132,Married-civ-spouse,Craft-repair,Husband,Black,Male,-0.001997802019119263,0.0018543785810470582,40.00130689120401,United-States,<=50K
36.15622296316996,Private,120298.31938874279,Bachelors,12.868408027335315,Never-married,Tech-support,Unmarried,White,Female,-0.0019958152770996095,0.001967444658279419,40.68237407094779,United-States,<=50K
74.47940420681321,Private,145082.32831694026,Prof-school,15.567202709281837,Married-civ-spouse,Prof-specialty,Husband,White,Male,99998.99800117646,0.0019820737838745117,40.0017742693435,United-States,>50K
74.70224344143881,Self-emp-not-inc,129465.63533359565,Bachelors,12.845618923389912,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,-0.001998910427093506,0.001981292486190796,40.001903413177615,United-States,>50K
57.25300936331288,Private,200898.74158937036,Bachelors,13.093096612167821,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.001999775290489197,0.0019382079839706421,52.73092682579198,United-States,<=50K
43.64355062980466,Private,226318.20821700813,Bachelors,13.392464579596309,Never-married,Other-service,Own-child,White,Male,-0.001996433973312378,0.001970353722572327,39.79154763270776,United-States,<=50K
30.46428827432449,Private,128903.31486994593,Assoc-voc,10.527080579029118,Divorced,Adm-clerical,Not-in-family,White,Female,-175.9871767911818,0.0019218306541442872,40.001175382615216,United-States,<=50K
56.92508579573523,private,302264.04785443365,Some-college,10.1265129005915,Never-married,Prof-specialty,Husband,Black,Male,-0.001997794270515442,0.001849938988685608,40.00171726620305,United-States,<=50K
42.45115096348169,State-gov,323009.98264882684,Bachelors,13.020510765752718,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,-195.64350765315976,0.0018808673620224,40.0018294931661,United-States,>50K
26.44487451815241,Private,171025.23855412012,Bachelors,12.96089290900282,Never-married,Prof-specialty,Not-in-family,White,Female,-0.001998151183128357,0.001993226170539856,29.39267484875038,United-States,<=50K
25.536009471782787,Private,191710.25481625454,Bachelors,13.200082505403444,Married-civ-spouse,Exec-managerial,Husband,White,Male,-0.0019921188354492187,0.0018966931104660034,30.29066484963201,United-States,<=50K
45.41680201935157,Self-emp-not-inc,202659.09294226588,Assoc-acdm,12.23645726298536,Never-married,Prof-specialty,Not-in-family,Black,Female,-0.0019998157024383547,0.0019791163206100463,29.212312484158495,United-States,>50K
26.940229271851067,Private,316578.13490977115,HS-grad,9.149188934177937,Never-married,Handlers-cleaners,Own-child,White,Male,-0.001998561978340149,0.001899978756904602,40.001232669354565,United-States,<=50K
23.588051209958962,Federal-gov,280109.91540293075,Some-college,9.948761246105503,Never-married,Adm-clerical,Own-child,White,Female,-0.0019804340600967406,0.0019483132362365723,19.4016410393077,United-States,<=50K
76.0688497763602,Local-gov,177265.7103238633,Masters,13.523464341200116,Widowed,Prof-specialty,Wife,White,Female,-0.0019987428188323977,0.0019297685623168945,22.01492738188372,United-States,<=50K
