age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours per week,native-country,class
21.733595530402223,Private,159662.6105270585,HS-grad,10.09969131183501,Never-married,Exec-managerial,Husband,White,Female,-0.001945267915725708,-0.001658831834793091,40.00014939579339,United-States,<=50K
55.6746165033326,Private,330512.70524907904,11th,14.95932390285155,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.0018867219686508178,0.0006931516528129578,40.001407356142714,Dominican-Republic,<=50K
25.227056933468138,Private,241354.25647729976,1st-4th,6.351530324586365,Never-married,Tech-support,Own-child,White,Female,-0.0016369932889938356,-0.0006751303672790528,40.001686736106585,United-States,>50K
19.895920286979646,Private,182521.06107133304,HS-grad,9.8501550966528,Never-married,Exec-managerial,Husband,White,Male,-0.0019404557943344116,-0.001720209002494812,39.99942993539543,United-States,<=50K
39.747345666450656,Private,237070.10722086305,HS-grad,14.739727301626356,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,-0.001966193437576294,0.0010231845378875734,62.11667250029749,United-States,<=50K
49.31874614848216,Private,121954.06178234436,Some-college,10.2070042934855,Never-married,Exec-managerial,Not-in-family,White,Male,-0.0019449371099472047,-0.0005795318484306336,52.62859960586651,United-States,<=50K
37.347364278808215,Private,86059.20908376483,HS-grad,14.4826864839883,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,-0.0019871158599853514,-0.00033237075805664064,40.00054299843283,United-States,<=50K
46.255029191201885,Private,99656.41597028667,Some-college,14.98089967402301,Married-civ-spouse,Adm-clerical,Husband,White,Female,-0.001785117030143738,-0.0003097841441631317,39.99989776544245,United-States,<=50K
28.08571175603228,Self-emp-not-inc,187017.96598852595,HS-grad,14.983170785127367,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,-0.0016712958812713623,-0.0012957589626312255,40.00134450018378,United-States,<=50K
22.64471086195291,Private,196582.25767924893,HS-grad,9.959536448541177,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,-0.001884873390197754,-0.0013331363201141357,61.522495787328545,United-States,<=50K
29.31093338425076,Private,274466.78616342513,HS-grad,10.073966094412201,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.0014749858379364013,0.0003594155013561249,40.0018978046176,United-States,<=50K
44.75318487275565,Private,202198.0950511482,HS-grad,10.321484018002888,Married-civ-spouse,Prof-specialty,Husband,White,Female,-0.0018952587842941285,-0.0016264568567276002,62.6368589570297,United-States,<=50K
23.12866804363122,Private,230402.14754660276,HS-grad,12.774874235611273,Married-civ-spouse,Other-service,Unmarried,White,Male,-0.0005257717370986939,-0.001085822820663452,40.001437362670615,United-States,<=50K
31.24298570377352,Private,193978.97871969844,Some-college,10.157928319335793,Never-married,Exec-managerial,Husband,White,Male,-0.001696271061897278,0.0012455708980560302,40.001744942187976,United-States,<=50K
21.738900773145577,Private,146257.936320814,Bachelors,10.252014980837778,Never-married,Exec-managerial,Husband,White,Male,-0.0016950597763061525,-0.0017709546089172364,39.9988832280633,Canada,>50K
35.85320839641106,Private,220098.4886556284,HS-grad,9.599417818423365,Never-married,Transport-moving,Wife,Black,Male,-0.0009923638701438903,-0.0011761265993118287,5.759233511427135,United-States,<=50K
39.65489409995141,Private,185151.80713788728,HS-grad,10.130580431627742,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0.00046109652519226075,0.0008038692474365234,39.99904292309256,United-States,<=50K
20.348055837477542,Private,236624.21231179772,11th,8.961472660255083,Never-married,Priv-house-serv,Husband,White,Female,-0.0016064876317977905,-0.0014866784811019898,40.00082158702583,Guatemala,<=50K
27.932854179318266,Private,256243.53580094135,Some-college,9.797886578261608,Divorced,Other-service,Own-child,Amer-Indian-Eskimo,Male,-0.0016168817281723023,-0.0014776047468185425,40.00111424553366,Thailand,>50K
38.064881450021026,Private,100514.31415244496,HS-grad,10.322002881636438,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.001981302499771118,-0.00011335117369890214,40.00017329345615,United-States,<=50K
33.703007072887715,Private,285322.61272894713,HS-grad,9.966405467748288,Divorced,Prof-specialty,Not-in-family,White,Male,-0.0018652074337005616,-0.0009485884904861451,40.000493329614116,United-States,<=50K
19.54008658365433,Private,228333.2116627165,Bachelors,10.10733184755373,Never-married,Other-service,Not-in-family,White,Female,-0.0016040815114974976,0.0012062195539474488,39.999173824548436,Japan,>50K
35.91189988515531,Self-emp-not-inc,335042.94103615044,9th,10.063707239418385,Married-civ-spouse,Craft-repair,Not-in-family,Black,Male,-0.001963141679763794,-0.0013997846841812135,40.00138147366018,United-States,>50K
38.363505182924186,Private,304786.2427564051,Bachelors,14.609715680824847,Married-civ-spouse,Transport-moving,Husband,White,Female,-0.0017321727275848389,-0.0006740107536315918,40.0006973077652,United-States,<=50K
33.20337041364227,Private,166230.28246132436,Some-college,9.972154801708516,Never-married,Prof-specialty,Husband,White,Female,7186.054555003893,-0.001093817949295044,39.9996477263865,United-States,>50K
22.88881013201156,Private,190419.96442980508,10th,9.844700921348522,Never-married,Craft-repair,Husband,White,Male,-0.0009549953937530518,0.0005151338577270508,39.99854664075346,United-States,>50K
48.225228222291435,Private,191975.39006366138,HS-grad,10.30671643590524,Married-civ-spouse,Prof-specialty,Husband,White,Male,-0.0018887534141540528,0.001099071741104126,40.001285250425056,United-States,<=50K
